MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0402WGF1502TCE,Uniroyal Electronics Industry,15k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,15k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF1502TCE,Basic,C25756,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF1502T5E,Uniroyal Electronics Industry,15k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,15k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1502T5E,Basic,C22809,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F1502T5E,Uniroyal Electronics Industry,15k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,15k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F1502T5E,Basic,C17475,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF1602T5E,Uniroyal Electronics Industry,16k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,16k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1602T5E,Preferred,C22818,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F1602T5E,Uniroyal Electronics Industry,16k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,16k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F1602T5E,Preferred,C17490,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF1802TCE,Uniroyal Electronics Industry,18k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,18k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF1802TCE,Preferred,C25762,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF1802T5E,Uniroyal Electronics Industry,18k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,18k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF1802T5E,Basic,C25810,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F1802T5E,Uniroyal Electronics Industry,18k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,18k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F1802T5E,Preferred,C17506,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF2002TCE,Uniroyal Electronics Industry,20k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,20k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF2002TCE,Basic,C25765,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF2002T5E,Uniroyal Electronics Industry,20k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,20k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2002T5E,Basic,C4184,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2002T5E,Uniroyal Electronics Industry,20k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,20k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2002T5E,Basic,C4328,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF2202TCE,Uniroyal Electronics Industry,22k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,22k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF2202TCE,Basic,C25768,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF2202T5E,Uniroyal Electronics Industry,22k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,22k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2202T5E,Basic,C31850,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2202T5E,Uniroyal Electronics Industry,22k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,22k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2202T5E,Basic,C17560,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF2402TCE,Uniroyal Electronics Industry,24k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,24k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF2402TCE,Preferred,C25769,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF2402T5E,Uniroyal Electronics Industry,24k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,24k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2402T5E,Basic,C23352,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2402T5E,Uniroyal Electronics Industry,24k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,24k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2402T5E,Basic,C17575,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
FRC0603F2672TS,Fojan Electronics,26.7k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,26.7k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,N/A,Preferred,C2930082,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590912227518337024
0402WGF2702TCE,Uniroyal Electronics Industry,27k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,27k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF2702TCE,Preferred,C25771,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
