MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0603WAF220JT5E,Uniroyal Electronics Industry,22R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,22R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF220JT5E,Basic,C23345,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F220JT5E,Uniroyal Electronics Industry,22R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,22R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F220JT5E,Basic,C17561,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
1206W4F220JT5E,Uniroyal Electronics Industry,22R 1% 1206 General Thick Film Resistor,Device:R,Chip:RESC3216X65_NOMB,22R,200V,250mW,±1%,±100ppm/°C,Thick Film,Compliant,303-1206W4F220JT5E,Basic,C17958,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F270JT5E,Uniroyal Electronics Industry,27R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,27R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F270JT5E,Preferred,C17594,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF330JTCE,Uniroyal Electronics Industry,33R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,33R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF330JTCE,Basic,C25105,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF330JT5E,Uniroyal Electronics Industry,33R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,33R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF330JT5E,Basic,C23140,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F330JT5E,Uniroyal Electronics Industry,33R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,33R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F330JT5E,Basic,C17634,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF470JTCE,Uniroyal Electronics Industry,47R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,47R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF470JTCE,Preferred,C25118,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF470JT5E,Uniroyal Electronics Industry,47R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,47R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF470JT5E,Basic,C23182,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F470JT5E,Uniroyal Electronics Industry,47R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,47R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F470JT5E,Basic,C17714,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
